FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;2Y;2 years;3;2021-01-13;0.315
B;Business;2Y;2 years;3;2021-01-14;0.314
B;Business;2Y;2 years;3;2021-01-15;0.316
B;Business;2Y;2 years;3;2021-01-18;0.32
B;Business;2Y;2 years;3;2021-01-19;0.321
B;Business;2Y;2 years;3;2021-01-20;0.325
B;Business;2Y;2 years;3;2021-01-21;0.332
B;Business;2Y;2 years;3;2021-01-22;0.335
B;Business;2Y;2 years;3;2021-01-25;0.325
B;Business;2Y;2 years;3;2021-01-26;0.339
B;Business;2Y;2 years;3;2021-01-27;0.329
B;Business;2Y;2 years;3;2021-01-28;0.316
B;Business;2Y;2 years;3;2021-01-29;0.331
B;Business;2Y;2 years;3;2021-02-01;0.344
B;Business;2Y;2 years;3;2021-02-02;0.361
B;Business;2Y;2 years;3;2021-02-03;0.36
B;Business;2Y;2 years;3;2021-02-04;0.359
B;Business;2Y;2 years;3;2021-02-05;0.367
B;Business;2Y;2 years;3;2021-02-08;0.373
