Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y7M
2006-10-04,3.480382987299999,3.464108903199412,3.5518627298582555,3.629597771811951,3.4660790617508552,3.5678171047304112,3.546500051330885,3.4916771093490016,3.645091136222091,3.575680116496684,3.6318633545777876,3.5491831263531837,3.460374252478358,3.4717271685401365,3.5730693939120592,3.44998102978883,3.4758104407719315,3.5170858195258603,3.472377470565971,3.4643385193283556
2006-10-03,3.4814543495503467,3.470330899957117,3.564891935445043,3.644684905889582,3.4763599795044504,3.581275392004254,3.5593832818213205,3.502948761141368,3.6605854490897696,3.5893477387151282,3.647009984913268,3.562139522890171,3.467122253966826,3.48226267571345,3.586667635058539,3.4587017950336563,3.4865126709267527,3.529142057518266,3.4771885163681144,3.474533139227873
2006-10-02,3.523158981485643,3.5363433448831723,3.609294230237934,3.6869710207991435,3.536520018463558,3.6245107538433428,3.6042722429118808,3.55611362599127,3.7034526757087605,3.632155751392534,3.6893614245735256,3.6067788577293007,3.534973477311448,3.5405816734613866,3.629607037365667,3.5275905085650314,3.543628259320995,3.577640058738688,3.537038373031427,3.535311741418321
2006-09-29,3.518592519385013,3.514750487206446,3.594216809143883,3.6680421108434924,3.516847940074226,3.6091412742388096,3.5892297644092954,3.539263781710926,3.683064283407614,3.6165427880053245,3.6702328483568185,3.591722988232347,3.512129713694871,3.5217132984252264,3.614082021905893,3.5037065256530964,3.5252642750756866,3.5621676757757,3.5196683800399433,3.515361641668962
2006-09-28,3.514524082186204,3.5111218811322904,3.5830229203634687,3.6619614277237744,3.505556819321243,3.598723897974413,3.5778114928451377,3.5269206093026124,3.678365486643948,3.606564460935521,3.664347321872511,3.580414573484942,3.508029573574957,3.5100294892318615,3.603953960107137,3.496009617719727,3.5133681671278296,3.5498969033521424,3.516594784886764,3.5042215614318373
2006-09-27,3.487331793762439,3.4825939701849413,3.5530920407849083,3.633173701341747,3.4752163332023094,3.5689893928712877,3.5478199222312954,3.4965191716495214,3.6498551947554088,3.5769347950198522,3.635599239980294,3.5504530150924842,3.4793033167052787,3.4796460208003515,3.5742889245298324,3.466303128237344,3.482967069983704,3.5196291556456316,3.488492073269358,3.4739000809660596
2006-09-26,3.474729997251938,3.46547833594262,3.5718292970415173,3.656074968328115,3.4764902730209895,3.5892062756861027,3.56597519245066,3.505536641537914,3.6727637847034047,3.5977510733457123,3.6585170771181232,3.568905040879624,3.462531988438975,3.483005533767335,3.5949152875961747,3.455826588296058,3.4876662166229675,3.5337135876033483,3.4717487449182634,3.4744608135008272
2006-09-25,3.456331419382381,3.451928887216263,3.565204786356496,3.6576963129126168,3.463398148969557,3.5841304715885034,3.558848917810122,3.493936429602262,3.676221217945797,3.5934678416463344,3.6604032383796214,3.5620285871986197,3.4492126678410178,3.470189484000737,3.590366826248886,3.4424219380015746,3.475071922990476,3.5240225718930556,3.457173155954298,3.4612922215763913
2006-09-22,3.5095109562300224,3.510929055598484,3.5878282213539423,3.6741397800103193,3.5044615931146685,3.604928709739241,3.582161450881916,3.5271677125988807,3.692166082455362,3.6134823186379834,3.6767599526678265,3.584991363357524,3.5079084423689846,3.509171207822875,3.6106334248452705,3.4950106876180413,3.5127071695337144,3.55190322905323,3.5156284461242437,3.503063992901466
2006-09-21,3.5787331463604017,3.5957485095107056,3.6684394045204334,3.7443713006075936,3.597577029403768,3.6832881228536505,3.6635417314107173,3.61664709598905,3.7605230841987103,3.6907532805728556,3.746713027873927,3.6659861144491535,3.594762838856673,3.6015356457348875,3.6882641589123275,3.588612488676436,3.6045015332211676,3.6375933218924095,3.5954186410488376,3.5963976184657267
